codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
6000004,DGA,dga_web,Laguna El Yeso,2140,-34.4078,-70.21,60,Rio Rapel,600,Rio Cachapoal Alto (Hasta Bajo Junta Rio Claro),2016-12-01,2018-01-20,342,2016-12-01
6015003,DGA,dga_web,Rengo,310,-34.4217,-70.8667,60,Rio Rapel,601,Cachapoal Bajo,1970-01-21,1993-12-31,8381,-
6013005,DGA,dga_web,Popeta,480,-34.4369,-70.7794,60,Rio Rapel,601,Cachapoal Bajo,1970-03-03,1975-05-31,1858,-
6013001,DGA,dga_web,Rio Claro En Hacienda Las Nieves,720,-34.4922,-70.7028,60,Rio Rapel,601,Cachapoal Bajo,2013-07-08,2018-02-04,1673,2013-07-08
6013008,DGA,dga_web,Laguna Los Cristales,2343,-34.5606,-70.5097,60,Rio Rapel,601,Cachapoal Bajo,2013-03-28,2018-01-01,1333,2013-03-28
6028001,DGA,dga_web,Rio Tinguiririca Bajo Los Briones,560,-34.7186,-70.8267,60,Rio Rapel,602,Rio Tinguiririca Alto (Hasta Bajo Junta Rio Claro),2013-12-16,2018-02-04,1466,2013-12-16
7120002,DGA,dga_web,Laguna De Torca,28,-34.7675,-72.065,71,Rio Mataquito,712,Rio Mataquito,2014-01-01,2018-02-04,1328,2014-01-01
6034003,DGA,dga_web,Convento Viejo,239,-34.7694,-71.1331,60,Rio Rapel,603,Tinguiririca Bajo,1971-08-24,2017-02-22,7803,2017-02-22
6020001,DGA,dga_web,Termas Del Flaco,2650,-34.8911,-70.3297,60,Rio Rapel,602,Rio Tinguiririca Alto (Hasta Bajo Junta Rio Claro),1999-06-23,2018-02-04,1725,2017-01-01
7118003,DGA,dga_web,Curico,195,-34.9811,-71.2361,71,Rio Mataquito,711,Rio Lontue,2014-01-01,2018-02-04,1143,2014-01-01
7116005,DGA,dga_web,Potrero Grande,445,-35.1833,-71.0978,71,Rio Mataquito,711,Rio Lontue,1967-04-17,2018-02-04,7716,2014-01-01
7384002,DGA,dga_web,Constitucion,10,-35.3242,-72.4089,73,Rio Maule,738,Rio Maule Bajo,2013-12-20,2018-02-04,1432,2013-12-20
7381003,DGA,dga_web,Pencahue,55,-35.3725,-71.8325,73,Rio Maule,738,Rio Maule Bajo,1986-08-06,2018-02-04,3112,2014-01-01
7381002,DGA,dga_web,Fundo El Peral,110,-35.4006,-71.7833,73,Rio Maule,738,Rio Maule Bajo,1974-11-13,1986-06-28,3878,-
7378004,DGA,dga_web,Talca,110,-35.4194,-71.6606,73,Rio Maule,737,Rio Claro,2013-11-22,2016-01-01,224,2013-11-22
7378002,DGA,dga_web,Talca U.C.,130,-35.4358,-71.6197,73,Rio Maule,737,Rio Claro,1982-03-02,2018-02-04,5447,2014-01-01
7379002,DGA,dga_web,Rio Claro En Rauquen,64,-35.4525,-71.7333,73,Rio Maule,737,Rio Claro,1999-02-16,2018-02-04,5379,1999-02-16
7378003,DGA,dga_web,Colorado,420,-35.6381,-71.2606,73,Rio Maule,737,Rio Claro,1969-09-15,1993-12-31,8306,-
7320003,DGA,dga_web,Rio Claro En San Carlos,550,-35.6989,-71.0683,73,Rio Maule,736,Rio Maule Medio (Entre Rio Claro Y Rio Loncomilla),2014-01-01,2018-02-04,973,2014-01-01
7320002,DGA,dga_web,Armerillo,492,-35.7011,-71.0772,73,Rio Maule,732,Rio Maule Medio,2011-01-01,2018-02-04,2225,2011-01-01
7321002,DGA,dga_web,Rio Maule En Armerillo,470,-35.7061,-71.1139,73,Rio Maule,732,Rio Maule Medio,2000-01-01,2018-02-04,4020,2000-01-01
7306001,DGA,dga_web,Rio Cipreses En Dasague Laguna La Invernada,1300,-35.7381,-70.7778,73,Rio Maule,730,Rio Maule Alto (Hasta Antes Junta Rio Melado),2014-01-01,2018-01-23,938,2014-01-01
7303000,DGA,dga_web,Rio Maule En Los BaÑOs,980,-35.8197,-70.7606,73,Rio Maule,730,Rio Maule Alto (Hasta Antes Junta Rio Melado),2014-01-01,2018-02-04,936,2014-01-01
7358007,DGA,dga_web,Linares,157,-35.8381,-71.5953,73,Rio Maule,735,Rio Loncomilla,1976-07-28,1979-02-25,835,-
7317001,DGA,dga_web,Rio Melado En La Lancha Dga,650,-35.85,-71.0667,73,Rio Maule,731,Rio Melado,2002-09-28,2003-03-16,166,-
7317005,DGA,dga_web,Rio Melado En El Salto,730,-35.8842,-71.0192,73,Rio Maule,731,Rio Melado,2003-01-01,2018-02-04,3816,2003-01-01
7355007,DGA,dga_web,Ancoa Embalse,421,-35.9106,-71.2958,73,Rio Maule,735,Rio Loncomilla,1965-02-02,1993-12-31,9839,-
7301000,DGA,dga_web,Lo Aguirre,2000,-35.9697,-70.5719,73,Rio Maule,730,Rio Maule Alto,2000-01-04,2005-08-31,1956,-
7301001,DGA,dga_web,Los Condores,2172,-36.0106,-70.5589,73,Rio Maule,730,Rio Maule Alto,2014-01-01,2018-01-31,1179,2014-01-01
7345001,DGA,dga_web,Parral,175,-36.1878,-71.8283,73,Rio Maule,734,Perquilauquen Bajo,1975-10-15,2018-02-04,7763,2013-12-03
7331002,DGA,dga_web,Digua Embalse,390,-36.2558,-71.5481,73,Rio Maule,733,Perquilauquen Alto,1974-06-04,2018-02-04,7962,2013-12-14
7314002,DGA,dga_web,Guayquivilo,1200,-36.2933,-70.9181,73,Rio Maule,731,Rio Melado,1965-04-27,1972-07-02,2009,-
8113001,DGA,dga_web,Coihueco Embalse,314,-36.6408,-71.7989,81,Rio Itata,811,Nuble Bajo,1976-07-21,1993-12-31,5868,-
8105004,DGA,dga_web,Caracol,610,-36.6511,-71.395,81,Rio Itata,810,Nuble Alto,1987-06-30,1993-12-31,2270,-
8105003,DGA,dga_web,La Punilla,840,-36.6583,-71.3278,81,Rio Itata,810,Nuble Alto,1965-02-17,1986-10-14,6963,-
8130006,DGA,dga_web,Diguillin,670,-36.8686,-71.6425,81,Rio Itata,813,Itata Medio,1965-01-29,1993-12-31,9658,-
8372002,DGA,dga_web,Rio Polcura En Cuatro Junta,1319,-37.1072,-71.2422,83,Rio Bio-Bio,837,Rio Laja Alto (Hasta Bajo Junta Rio Rucue),2014-01-01,2018-02-04,875,2014-01-01
8372001,DGA,dga_web,Alto Mallines,1770,-37.1589,-71.2425,83,Rio Bio-Bio,837,Rio Laja Alto (Hasta Bajo Junta Rio Rucue),2002-01-01,2018-02-04,3939,2002-01-01
8318002,DGA,dga_web,Quilaco,231,-37.685,-72.0058,83,Rio Bio-Bio,831,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,1965-02-10,1993-12-26,9262,-
8316002,DGA,dga_web,Rio Huequecura Aguas Arriba De Embalse Angostura,330,-37.7047,-71.7683,83,Rio Bio-Bio,831,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2013-12-23,2018-02-04,1438,2013-12-23
8317006,DGA,dga_web,Embalse Central Angostura,324,-37.7131,-71.8172,83,Rio Bio-Bio,831,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2013-12-23,2018-02-04,1505,2013-12-23
8358002,DGA,dga_web,Angol (La Mona),113,-37.7794,-72.6372,83,Rio Bio-Bio,835,Rios Malleco Y Vergara,2011-03-01,2018-02-04,1241,2013-10-25
8317004,DGA,dga_web,Rio Biobio En La Culebra,338,-37.7964,-71.6989,83,Rio Bio-Bio,831,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2013-12-23,2018-02-04,1469,2013-12-23
8358003,DGA,dga_web,El Vergel (Angol),75,-37.8172,-72.65,83,Rio Bio-Bio,835,Rios Malleco Y Vergara,1981-04-13,1993-12-31,4433,-
8313002,DGA,dga_web,Embalse Pangue,512,-37.9183,-71.5961,83,Rio Bio-Bio,831,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2014-01-01,2018-01-01,1254,2014-01-01
8351003,DGA,dga_web,Collipulli,240,-37.9583,-72.4256,83,Rio Bio-Bio,835,Rios Malleco Y Vergara,1967-11-21,1974-08-24,1567,-
8822008,DGA,dga_web,Contulmo,41,-38.0186,-73.23,88,Costeras Lebu-Paicavi,882,Rio Paicavi,1987-07-07,1993-09-30,1427,-
8312002,DGA,dga_web,Embalse Ralco,742,-38.0583,-71.4344,83,Rio Bio-Bio,831,Rio Bio-Bio Entre Rio Ranquil Y Rio Duqueco,2015-01-01,2018-02-04,1078,2015-01-01
8308000,DGA,dga_web,Rio Lomin En Puente La Junta,755,-38.0661,-71.3497,83,Rio Bio-Bio,830,Rio Bio-Bio Alto (Hasta Despues Junta Rio Lamin),2013-06-04,2017-03-01,792,2013-06-04
8307002,DGA,dga_web,Rio Bio-Bio En Llanquen,767,-38.2008,-71.2989,83,Rio Bio-Bio,830,Rio Bio-Bio Alto (Hasta Despues Junta Rio Lamin),2003-01-01,2018-02-04,3574,2003-01-01
8304004,DGA,dga_web,Lonquimay,931,-38.4536,-71.3742,83,Rio Bio-Bio,830,Rio Bio-Bio Alto (Hasta Despues Junta Rio Lamin),2016-11-03,2018-02-04,450,2016-11-03
9120002,DGA,dga_web,Manzanar,790,-38.4631,-71.6992,91,Rio Imperial,912,Cautin Alto (Hasta Antes Junta R. Quepe),1972-03-07,1988-09-25,4964,-
9120003,DGA,dga_web,Malalcahuello,950,-38.4703,-71.5753,91,Rio Imperial,912,Cautin Alto (Hasta Antes Junta R. Quepe),1989-03-01,2018-02-04,1768,2016-11-03
9129005,DGA,dga_web,Pueblo Nuevo (Temuco),119,-38.7128,-72.5558,91,Rio Imperial,912,Cautin Alto (Hasta Antes Junta R. Quepe),2013-10-11,2018-02-04,1474,2013-10-11
9400000,DGA,dga_web,Rio Truful En Camino Internacional,520,-38.8444,-71.6536,94,Rio Tolten,940,Rio Allipen,2015-01-01,2018-02-04,1062,2015-01-01
9135003,DGA,dga_web,Freire Sendos,100,-38.9592,-72.6083,91,Rio Imperial,913,Rio Quepe,1984-06-28,1987-04-19,1008,-
9423001,DGA,dga_web,Rio Tolten En Coipue,200,-39.1,-72.3833,94,Rio Tolten,942,Lago Villarica Y Rio Tolten Alto (Antes  Allipen),2016-11-01,2018-02-04,413,2016-11-01
9420002,DGA,dga_web,Pucon,230,-39.2753,-71.9503,94,Rio Tolten,942,Lago Villarica Y Tolten Alto,1989-01-01,2018-02-04,3087,2013-10-30
10123004,DGA,dga_web,Llancahue,70,-39.8561,-73.1786,101,Rio Valdivia,1012,Rio Calle Calle,2014-01-01,2018-02-04,1279,2014-01-01
10100002,DGA,dga_web,Rio Fui En Desage Lago Pirihueico,600,-39.8747,-71.8897,101,Rio Valdivia,1010,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),2003-04-12,2005-08-31,715,-
10360002,DGA,dga_web,Adolfo Matthei,55,-40.5883,-73.1069,103,Rio Bueno,1036,R. Rahue Bajo,2013-12-16,2018-02-04,1413,2013-12-16
10344003,DGA,dga_web,Rio Rahue Antes Junta Rio Negro,40,-40.63,-73.1783,103,Rio Bueno,1034,Rio Rahue Hasta Antes Junta Rio Negro,2014-01-01,2018-02-04,1228,2014-01-01
10355003,DGA,dga_web,Rio Forrahue En Rio Negro,52,-40.7956,-73.2144,103,Rio Bueno,1035,Rio Negro,2014-01-01,2018-02-04,1227,2014-01-01
10512000,DGA,dga_web,Llanada Grande,248,-41.4242,-71.9386,105,Rio Puelo,1051,R. Puelo Alto,2014-01-01,2018-02-04,1349,2014-01-01
10425001,DGA,dga_web,Puerto Montt,90,-41.46,-72.9378,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1042,Costeras E Islas Entre Rio Maullin Y Rio Chamiza,2013-12-13,2018-02-04,1355,2013-12-13
10523001,DGA,dga_web,Puelo,5,-41.6511,-72.3117,105,Rio Puelo,1052,R. Puelo Bajo,2014-01-01,2018-02-04,1419,2014-01-01
10610001,DGA,dga_web,Hornopiren,25,-41.9383,-72.435,106,Costeras Entre R.Puelo Y R.Yelcho,1061,Costeras Entre Pta Tentelhue Y Rio Negro (Incl.),2016-01-01,2018-02-04,593,2016-01-01
10683002,DGA,dga_web,Rio Blanco En Chaiten,10,-42.9183,-72.7039,106,Costeras Entre R.Puelo Y R.Yelcho,1068,Costeras Entre R. Negro (Incl.) Y R. Yelcho,2014-01-01,2016-01-01,218,2014-01-01
11023002,DGA,dga_web,Villa Santa Lucia,327,-43.4128,-72.3658,110,Rio Palena Y Costeras Limite Decima Region,1102,Rio Palena Entre Frontera Y Rio Rosselot,2014-01-01,2018-02-04,1112,2014-01-01
11043001,DGA,dga_web,Marin Balmaceda,10,-43.7717,-72.9547,110,Rio Palena Y Costeras Limite Decima Region,1104,R. Palena Bajo,1993-08-01,1993-12-26,143,-
11041001,DGA,dga_web,La Junta,45,-43.9708,-72.4056,110,Rio Palena Y Costeras Limite Decima Region,1104,R. Palena Bajo,2014-01-01,2018-02-04,521,2014-01-01
11120001,DGA,dga_web,Puerto Puyuhuapi,10,-44.3228,-72.5597,111,Costeras E Islas Entre R.Palena Y R.Aisen,1112,Costeras Entre Rio Marchant Y Seno Ventisquero,1993-11-03,1993-12-26,51,-
11180000,DGA,dga_web,Islas Huichas,6,-45.1553,-73.5164,111,Costeras E Islas Entre R.Palena Y R.Aisen,1118,Islas Al Este Canal Moraleda,2011-01-01,2018-02-04,2166,2011-01-01
11342002,DGA,dga_web,Puerto Aysen,10,-45.4006,-72.7,113,Rio Aisen,1134,Rio Aisen Entre Rio Riesco Y Desembocadura,1993-04-01,1993-12-31,201,-
11316004,DGA,dga_web,Coyhaique Alto,730,-45.4803,-71.6044,113,Rio Aisen,1131,Rio Simpson,2013-11-18,2018-02-04,1540,2013-11-18
11316003,DGA,dga_web,Coyhaique (Escuela Agricola),343,-45.5739,-72.0286,113,Rio Aisen,1131,Rio Simpson,2013-03-27,2018-02-04,1770,2013-03-27
11505001,DGA,dga_web,Rio Ibaez En Desembocadura,220,-46.2692,-71.9908,115,Rio Baker,1150,R. Ibanez,2006-01-01,2018-02-04,2729,2006-01-01
11521005,DGA,dga_web,Lago General Carrera Fachinal,18,-46.5425,-72.2267,115,Rio Baker,1152,Vertiente Sur Lago General Carrera,2015-12-02,2018-02-04,756,2015-12-02
11521002,DGA,dga_web,Chile Chico,215,-46.5436,-71.7089,115,Rio Baker,1152,Vertiente Sur Lago Jose Miguel Carrera,1993-05-01,1993-12-31,177,-
11440000,DGA,dga_web,Glaciar San Rafael,8,-46.6433,-73.8575,114,Costeras E Islas Entre R Aisen Y R Baker Y Canal Gral. Martinez,1144,Costera Y Ventisqueros Entre R.  Exploradores Y Vent. Benito,2011-01-01,2018-02-04,1941,2011-01-01
11532000,DGA,dga_web,Rio Nef Antes Junta Estero El Revalse,281,-47.1378,-73.0869,115,Rio Baker,1153,R. Baker Entre Desague L. J. M. Carrera Y R. De La Colonia,2011-01-01,2018-02-04,1878,2011-01-01
11536004,DGA,dga_web,Rio Baker En Angostura Chacabuco,160,-47.1414,-72.7258,115,Rio Baker,1153,R. Baker Entre Desague L. J. M. Carrera Y R. De La Colonia,2003-01-01,2018-02-04,3673,2003-01-01
11540000,DGA,dga_web,Lago Cachet 2 En Glaciar Colonia,427,-47.1981,-73.25,115,Rio Baker,1154,R. Baker Entre Arriba R. De La Colonia Y Desembocadura,2011-01-01,2018-02-04,1483,2011-01-01
11536001,DGA,dga_web,Rio Cochrane En Cochrane,140,-47.2517,-72.5644,115,Rio Baker,1153,R. Baker Entre Desague L. J. M. Carrera Y R. De La Colonia,2006-01-01,2016-01-01,1231,2006-01-01
11541000,DGA,dga_web,Rio Colonia En Nacimiento,146,-47.3392,-73.1147,115,Rio Baker,1154,R. Baker Entre Arriba R. De La Colonia Y Desembocadura,2011-01-01,2018-02-04,1888,2011-01-01
11546001,DGA,dga_web,Caleta Tortel,10,-47.7997,-73.5358,115,Rio Baker,1154,R. Baker Entre Arriba R. De La Colonia Y Desembocadura,2013-10-23,2018-02-04,1560,2013-10-23
11711000,DGA,dga_web,Rio Pascua Ante Junta Rio Quetru,20,-48.1592,-73.0889,117,Rio Pascua,1171,Rio Pascua,2003-01-01,2018-02-04,2746,2003-01-01
11702000,DGA,dga_web,Lago Ohiggins En Villa Ohiggins,300,-48.5169,-72.5953,117,Rio Pascua,1170,Lago O'Higgins,2003-01-01,2008-01-01,1284,2003-01-01
12000000,DGA,dga_web,Glaciar Tempano,20,-48.8347,-74.1831,120,Costeras Entre Limite Region Y Seno Andrew,1200,Costeras Del Canal Mesier Entre Limite Region Y Peninsula Exmouth,2011-01-01,2018-01-30,1872,2011-01-01
11704001,DGA,dga_web,Candelario Mancilla,300,-48.8775,-72.7394,117,Rio Pascua,1170,Lago O'Higgins,2003-01-01,2018-02-04,3022,2003-01-01
11706000,DGA,dga_web,Glaciar Ohiggins,5,-48.9272,-73.1172,117,Rio Pascua,1170,Lago O'Higgins,2011-01-01,2018-02-04,1548,2011-01-01
12280004,DGA,dga_web,Lago Dickson,200,-50.8228,-73.1125,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228,Rio Serrano,1999-06-24,2018-02-04,4129,1999-06-24
12283001,DGA,dga_web,Cerro Guido,230,-50.8986,-72.3314,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228,Rio Serrano,2011-01-01,2018-02-04,1849,2011-01-01
12284006,DGA,dga_web,Rio Las Chinas En Cerro Guido,75,-51.0508,-72.5169,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228,Rio Serrano,2003-01-01,2018-02-04,3078,2003-01-01
12288000,DGA,dga_web,Glaciar Tindall,345,-51.1158,-73.2825,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228,Rio Serrano,2011-01-01,2018-02-04,2200,2011-01-01
12286001,DGA,dga_web,Torres Del Paine,25,-51.1842,-72.9669,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228,Rio Serrano,1976-01-22,2018-02-04,6414,2011-01-01
12284010,DGA,dga_web,Cerro Castillo,130,-51.26,-72.3272,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1228,Rio Serrano,2011-01-01,2018-02-04,1874,2011-01-01
12293001,DGA,dga_web,Puerto Natales,45,-51.7336,-72.4781,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1229,Costeras Entre Rio Serrano Y Rio Hollenberg,2011-01-01,2018-01-25,2208,2011-01-01
12680001,DGA,dga_web,Monte Aymond,160,-52.1644,-69.6078,126,Vertiente Del Atlantico,1268,Costeras Entre Canadon Seco Y Canadon Grande,2011-01-01,2018-02-04,2150,2011-01-01
12620000,DGA,dga_web,Penitente Alto,290,-52.2092,-71.6806,126,Vertiente Del Atlantico,1262,Rio Penitente,2011-01-01,2018-02-04,2167,2011-01-01
12403000,DGA,dga_web,Seno Obstruccin,4,-52.2094,-72.4783,124,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1240,Costeras Del Golfo Almirante Montt Y Fiordo Obstruccion,2011-01-01,2018-02-04,2200,2011-01-01
12622002,DGA,dga_web,Villa Tehuelche,190,-52.4414,-71.4022,126,Vertiente Del Atlantico,1262,Rio Penitente,1993-04-16,2018-02-04,2401,2011-01-01
12452001,DGA,dga_web,Rio Perez En Desembocadura,20,-52.5492,-71.9747,124,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1245,Costeras Continentales Del Seno Skyring,2011-01-01,2018-02-04,2228,2011-01-01
12802001,DGA,dga_web,Rio Side En Cerro Sombrero,10,-52.7681,-69.2772,128,Tierra Del Fuego,1280,Costeras Del Estrecho Magallanes Entre Frontera Y Cabo Monmouth,2011-01-01,2018-02-04,2228,2011-01-01
12449002,DGA,dga_web,Cordillera Riesco,456,-52.8425,-71.7642,124,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1244,Isla Riesco,2011-01-01,2018-02-04,2228,2011-01-01
12806005,DGA,dga_web,Sarita En Bahia San Felipe,15,-52.8675,-69.9,128,Tierra Del Fuego,1280,"Costeras Del E Magallanes, Cabo Esp. Santo Y C. Mo",1982-05-22,1984-12-28,846,-
12806004,DGA,dga_web,Bahia San Felipe,10,-52.8697,-69.9319,128,Tierra Del Fuego,1280,Costeras Del Estrecho Magallanes Entre Frontera Y Cabo Monmouth,1987-06-03,2018-02-04,3763,2011-01-01
12586004,DGA,dga_web,Punta Arenas,5,-53.1233,-70.8772,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258,Costeras E Islas Orientales De La Peninsula Brunswick,1973-11-16,2018-02-04,9965,2003-01-01
12586009,DGA,dga_web,Canal De Trasvase Estero Llau-Llau,80,-53.125,-70.9358,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258,Costeras E Islas Orientales De La Peninsula Brunswick,2003-01-01,2018-02-04,3279,2003-01-01
12586010,DGA,dga_web,Magdalena Giglio 2,432,-53.1397,-71.0561,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258,Costeras E Islas Orientales De La Peninsula Brunswick,2011-01-01,2018-02-04,1628,2011-01-01
12586006,DGA,dga_web,Cerro Mirador,580,-53.1842,-71.0833,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258,Costeras E Islas Orientales De La Peninsula Brunswick,2016-12-26,2018-02-04,405,2016-12-26
12809001,DGA,dga_web,Porvenir,35,-53.2908,-70.37,128,Tierra Del Fuego,1280,Costeras Del Estrecho Magallanes Entre Frontera Y Cabo Monmouth,2014-01-01,2018-02-04,1349,2014-01-01
12815001,DGA,dga_web,Onaisin En Maria Cristina,30,-53.3056,-69.2675,128,Tierra Del Fuego,1281,Costeras Bahia Inutil (Entre Cabo Monmouth Y Cabo Nose),2011-01-01,2018-02-04,2150,2011-01-01
12863001,DGA,dga_web,San Sebastian,20,-53.3217,-68.6614,128,Tierra Del Fuego,1286,Cuencas Atlanticas Hasta Frontera Entre Arroyo Alfa (Incl.) Y Afluentes R. Grande (Arg.),2011-01-01,2018-02-04,2228,2011-01-01
12582003,DGA,dga_web,Lago Parrillar,320,-53.4025,-71.2497,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258,Costeras E Islas Orientales De La Peninsula Brunswick,2011-01-01,2018-02-04,1818,2011-01-01
12873001,DGA,dga_web,Russfin,225,-53.7594,-69.1892,128,Tierra Del Fuego,1287,Afluentes Rio Grande Y Cuencas Cerradas,2011-01-01,2018-02-04,2087,2011-01-01
12821000,DGA,dga_web,Rio Condor,10,-53.9964,-70.0781,128,Tierra Del Fuego,1282,Costeras Entre Cabo Nose Y R. Azopardo (Incl.),2011-01-01,2018-02-04,2067,2011-01-01
12876003,DGA,dga_web,Pampa Huanaco,150,-54.0497,-68.7997,128,Tierra Del Fuego,1287,Afluentes Rio Grande Y Cuencas Cerradas,2011-01-01,2018-02-04,2181,2011-01-01
12879000,DGA,dga_web,Lago Deseado,170,-54.3378,-68.8242,128,Tierra Del Fuego,1287,Afluentes Rio Grande Y Cuencas Cerradas,2011-01-01,2018-02-04,2180,2011-01-01
12878002,DGA,dga_web,Bahia Yendegaia,10,-54.8817,-68.6825,128,Tierra Del Fuego,1287,Afluentes Rio Grande Y Cuencas Cerradas,2016-11-01,2018-02-04,461,2016-11-01
12930004,DGA,dga_web,Puerto Navarino,10,-54.9256,-68.3236,129,Islas Al Sur Del Canal Beagle Y Territorio Antartico,1293,Islas Navarino Y Gable,2011-01-01,2018-02-04,2228,2011-01-01
12930001,DGA,dga_web,Rio Robalo En Puerto Williams,80,-54.9469,-67.6392,129,Islas Al Sur Del Canal Beagle Y Territorio Antartico,1293,Islas Navarino Y Gable,2003-01-01,2018-02-04,2776,2003-01-01
12930005,DGA,dga_web,Puerto Toro,10,-55.0822,-67.0758,129,Islas Al Sur Del Canal Beagle Y Territorio Antartico,1293,Islas Navarino Y Gable,2011-01-01,2018-02-04,2080,2011-01-01
950002,DMC,dmc_anuarios,Arturo Prat Base Antartica,5,-62.4786,-59.6642,-1,No Disponible,-1,No Disponible,2016-01-01,2018-02-04,640,-
950003,DMC,dmc_anuarios,Bernardo O'Higgins Base Antartica,10,-63.3208,-57.8994,-1,No Disponible,-1,No Disponible,2016-01-01,2018-02-04,766,-
180005,DMC,dmc_merge,Chacalluta Arica Ap.,63,-18.3514,-70.3358,10,Altiplanicas,100,Entre Limite Peru - Bolivia Y Rio Lauca,1959-05-22,2018-02-04,18976,-
200006,DMC,dmc_merge,Diego Aracena Iquique Ap.,52,-20.5397,-70.1786,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1981-04-01,2018-02-04,13452,-
230001,DMC,dmc_merge,Cerro Moreno Antofagasta Ap.,113,-23.4503,-70.4411,20,Fronterizas Salar Michincha-R.Loa,200,Salar De Ollague,1963-02-22,2018-02-04,18998,-
270008,DMC,dmc_merge,Desierto De Atacama Caldera Ap.,204,-27.2639,-70.7742,30,Endorreicas Entre Frontera Y Vertiente Del Pacifico,304,Salar De Maricunga,2005-08-01,2018-02-04,3261,-
290004,DMC,dmc_merge,La Florida La Serena Ad.,142,-29.9175,-71.2011,41,Rio Los Choros,412,Q. Los Choros Entre Q. Del Pelicano Y Desembocadura,1963-07-26,2018-02-04,18867,-
330007,DMC,dmc_merge,Rodelillo Ad.,330,-33.0367,-71.5342,50,Costeras Quilimari-Petorca,500,Costeras Quilimari - Petorca,2016-01-01,2018-02-04,765,-
330020,DMC,dmc_merge,Quinta Normal Santiago,527,-33.445,-70.6828,57,Rio Maipo,573,Mapocho Bajo,1969-01-01,2018-02-04,17760,-
340031,DMC,dmc_merge,General Freire Curico Ad.,225,-34.9664,-71.2167,61,Costeras Rapel-E.Nilahue,613,Estero Nilahue,1964-07-01,2018-02-04,16074,-
360011,DMC,dmc_merge,Bernardo O'Higgins Chillan Ad.,151,-36.5872,-72.04,81,Rio Itata,810,Nuble Alto,1960-05-23,2018-02-04,15097,-
360019,DMC,dmc_merge,Carriel Sur Concepcion.,12,-36.7792,-73.0622,81,Rio Itata,810,Nuble Alto,1966-01-01,2018-02-04,18893,-
380013,DMC,dmc_merge,Maquehue Temuco Ad.,92,-38.77,-72.6369,83,Rio Bio Bio,830,Rio Bio-Bio Alto (Hasta Despues Junta Rio Lamin),1955-10-16,2018-02-04,18810,-
390006,DMC,dmc_merge,Pichoy Valdivia Ad.,21,-39.6506,-73.0808,101,Rio Valdivia,1010,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),1966-01-01,2018-02-04,14332,-
400009,DMC,dmc_merge,Canal Bajo Osorno Ad.,61,-40.605,-73.0608,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1955-10-22,2018-02-04,14918,-
410005,DMC,dmc_merge,El Tepual Puerto Montt Ap.,85,-41.435,-73.0978,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1964-07-05,2018-02-04,19039,-
450001,DMC,dmc_merge,Puerto Aysen Ad.,10,-45.3961,-72.6639,113,Rio Aisen,1134,Rio Aisen Entre Rio Riesco Y Desembocadura,1961-12-19,2018-02-04,11233,-
450004,DMC,dmc_merge,Teniente Vidal Coyhaique Ad.,310,-45.5939,-72.1086,113,Rio Aisen,1131,Rio Simpson,1956-08-30,2018-02-04,18875,-
450005,DMC,dmc_merge,Balmaceda Ad.,517,-45.9128,-71.6942,113,Rio Aisen,1131,Rio Simpson,1955-07-10,2018-02-04,18796,-
